,timestamp,open,high,low,close,volume_base,volume,volume_quote,time,sma1,sma2,sma3,sma4,val,up,down,compra,venda,compra_price,venda_price,avgCandleSize,volumeThreshold11,bullElephantBar,bearElephantBar,compra_price_elephant,venda_price_elephant
82,1743176940000,130.24,130.42,130.24,130.32,326.1869,42518.950491,42518.950491,28-03-2025 15:49:00,130.11624999999998,130.0485,129.83975,,130.305,True,False,False,False,,,,,False,False,,
83,1743177000000,130.32,130.32,130.1,130.14,673.0065,87596.168086,87596.168086,28-03-2025 15:50:00,130.1325,130.0825,129.84750000000003,,130.22,False,True,False,False,,,,,False,False,,
84,1743177060000,130.14,130.26,130.14,130.23,664.1462,86483.084001,86483.084001,28-03-2025 15:51:00,130.16625,130.10750000000002,129.85525,,130.1925,False,True,False,False,,,,,False,False,,
85,1743177120000,130.23,130.27,130.12,130.12,472.2374,61480.965702,61480.965702,28-03-2025 15:52:00,130.1875,130.1165,129.86599999999999,,130.185,False,True,False,False,,,,,False,False,,
86,1743177180000,130.12,130.2,130.09,130.12,372.0766,48418.851278,48418.851278,28-03-2025 15:53:00,130.1875,130.1185,129.871,,130.1325,False,True,False,False,,,,,False,False,,
87,1743177240000,130.12,130.26,130.07,130.08,2185.9519,284446.647154,284446.647154,28-03-2025 15:54:00,130.1775,130.1285,129.87775,,130.1325,False,True,False,False,,,,,False,False,,
88,1743177300000,130.08,130.21,130.07,130.17,497.6585,64768.557831,64768.557831,28-03-2025 15:55:00,130.1775,130.1355,129.88975,,130.1325,False,True,False,False,,,,,False,False,,
89,1743177360000,130.17,130.2,130.02,130.03,718.3474,93482.87713,93482.87713,28-03-2025 15:56:00,130.15125,130.131,129.898,,130.105,False,True,False,False,,,,,False,False,,
90,1743177420000,130.03,130.03,129.88,129.92,1365.5755,177421.716582,177421.716582,28-03-2025 15:57:00,130.10125,130.1215,129.9015,,129.965,False,True,False,False,,,,,False,False,,
91,1743177480000,129.92,130.04,129.89,130.04,1892.9408,246001.907757,246001.907757,28-03-2025 15:58:00,130.08875,130.11700000000002,129.90900000000002,,129.9725,True,False,False,False,,,,,False,False,,
92,1743177540000,130.04,130.11,129.93,129.93,598.8213,77855.540571,77855.540571,28-03-2025 15:59:00,130.05124999999998,130.105,129.915,,130.0025,True,False,False,False,,,,,False,False,,
93,1743177600000,129.93,130.04,129.93,130.02,692.3723,89999.093735,89999.093735,28-03-2025 16:00:00,130.03875,130.09699999999998,129.9265,,129.98000000000002,False,True,False,True,,130.02,,,False,False,,
94,1743177660000,130.02,130.02,129.77,129.93,782.8155,101659.657326,101659.657326,28-03-2025 16:01:00,130.015,130.083,129.93374999999997,,129.935,False,True,False,False,,,,,False,False,,
95,1743177720000,129.93,130.03,129.88,130.03,707.9082,91978.645632,91978.645632,28-03-2025 16:02:00,130.00875,130.084,129.94575,,129.9675,True,False,False,False,,,,,False,False,,
96,1743177780000,130.03,130.15,129.99,130.13,622.1111,80928.083675,80928.083675,28-03-2025 16:03:00,130.00375,130.0925,129.96325000000002,,130.075,True,False,False,False,,,,,False,False,,
97,1743177840000,130.13,130.13,129.99,130.07,379.7678,49390.4638,49390.4638,28-03-2025 16:04:00,130.00875,130.0985,129.98250000000002,,130.07999999999998,True,False,False,False,,,,,False,False,,
